iter	AUC	Logloss
579	0.7976291738	0.2330461204
580	0.7976536067	0.2330325643
581	0.7977001788	0.2330127105
582	0.7977446705	0.2329926128
583	0.7978054801	0.2329664927
584	0.7978529628	0.2329459293
585	0.7978754605	0.2329347825
586	0.7979058762	0.2329202194
587	0.7979192959	0.2329065945
588	0.7979720437	0.2328837248
589	0.7979887133	0.2328690748
590	0.7980209905	0.2328502424
591	0.7980685726	0.2328296803
592	0.7981153723	0.2328100738
593	0.7981431914	0.2327973658
594	0.7981734838	0.2327815887
595	0.7982278193	0.2327582314
596	0.7982672526	0.232742377
597	0.7983015315	0.2327234049
598	0.7983431304	0.2327054419
599	0.7983895254	0.2326821909
600	0.7984355575	0.2326651796
601	0.798472929	0.232647952
602	0.7985182121	0.2326268841
603	0.7985546764	0.2326077602
604	0.7985831063	0.2325935463
605	0.7986305178	0.2325722823
606	0.7986872818	0.232549239
607	0.798715129	0.2325362674
608	0.7987552619	0.2325173384
609	0.7987764856	0.2325030438
610	0.7987988868	0.2324909569
611	0.798813128	0.2324791044
612	0.798865343	0.2324555687
613	0.7988946997	0.2324408178
614	0.7989232949	0.2324269127
615	0.7989468172	0.2324159412
616	0.7989633551	0.2324012838
617	0.7989989562	0.2323821571
618	0.7990291182	0.2323674996
619	0.7990573442	0.2323523984
620	0.7990817508	0.2323390936
621	0.799124809	0.2323168366
622	0.7991572204	0.2322981085
623	0.7991879167	0.2322818698
624	0.7992143278	0.2322687384
625	0.7992328536	0.2322575182
626	0.7992722268	0.2322403989
627	0.7993039423	0.2322243511
628	0.7993414801	0.2322075775
629	0.7993681873	0.2321923756
630	0.7994117471	0.2321708074
631	0.7994499818	0.2321522179
632	0.7995077111	0.2321299857
633	0.7995456311	0.2321120927
634	0.7995965832	0.2320891154
635	0.7996197869	0.2320766848
636	0.7996635271	0.2320557649
637	0.7997219761	0.2320297561
638	0.7997450902	0.2320192529
639	0.799788413	0.2319978625
640	0.7998160839	0.2319835969
641	0.7998835819	0.2319543325
642	0.799918261	0.2319400765
643	0.7999448461	0.2319263132
644	0.7999670138	0.2319137107
645	0.7999960441	0.2319004164
646	0.8000488448	0.2318785312
647	0.8001022254	0.2318570254
648	0.8001493505	0.2318371341
649	0.800182001	0.2318228582
650	0.8002147798	0.2318079043
651	0.8002294259	0.2318011913
652	0.8002924224	0.2317729281
653	0.8003175785	0.2317596222
654	0.8003653141	0.2317373886
655	0.8003881137	0.2317275852
656	0.8004184585	0.2317120976
657	0.8004407134	0.231701488
658	0.8004843925	0.2316831871
659	0.8005291739	0.2316638928
660	0.8005589054	0.2316476993
661	0.8005994417	0.23163086
662	0.8006229652	0.2316164129
663	0.8006476795	0.2316043957
664	0.8006795487	0.2315891884
665	0.8007056577	0.2315736562
666	0.800740803	0.2315578921
667	0.8007768288	0.2315393048
668	0.8008113547	0.2315249969
669	0.8008412277	0.2315108114
670	0.8008744623	0.2314962157
671	0.8009060029	0.231482009
672	0.8009230286	0.2314710867
673	0.8009573873	0.2314569532
674	0.8009858384	0.2314435437
675	0.8010395794	0.2314224189
676	0.801077396	0.2314043383
677	0.8011109239	0.2313862355
678	0.8011516094	0.2313679782
679	0.8011968423	0.2313481973
680	0.8012410831	0.2313298325
681	0.8012734826	0.2313161611
682	0.8013069991	0.2313010373
683	0.8013329063	0.2312887716
684	0.8013694509	0.2312735965
685	0.8014014749	0.2312587423
686	0.8014420907	0.2312413328
687	0.8014920403	0.2312213468
688	0.801554576	0.2311988932
689	0.8015814252	0.2311842048
690	0.801615826	0.2311659405
691	0.8016516481	0.2311507661
692	0.80172016	0.2311259902
693	0.8017811481	0.2311019166
694	0.801809125	0.2310914221
695	0.8018331038	0.2310798754
696	0.8018710658	0.2310638312
697	0.801897675	0.2310504405
698	0.8019592238	0.2310259336
699	0.8019915227	0.2310112252
700	0.8020250841	0.230995317
701	0.8020610174	0.2309766974
702	0.8020980877	0.2309608029
703	0.8021596935	0.230935024
704	0.802183705	0.2309243601
705	0.8022072952	0.2309123509
706	0.8022331302	0.2309019878
707	0.8022589905	0.2308901851
708	0.8023187921	0.2308688935
709	0.8023666247	0.2308505722
710	0.802390919	0.2308387984
711	0.8024170466	0.2308257356
712	0.8024390687	0.2308144326
713	0.8024757663	0.2307973163
714	0.802513752	0.230780582
715	0.8025400998	0.2307685822
716	0.802564315	0.2307564245
717	0.8025841441	0.2307456136
718	0.8026212086	0.2307296301
719	0.8026724639	0.2307076011
720	0.8027027077	0.2306936299
721	0.8027397742	0.230676448
722	0.8027799431	0.230658156
723	0.8028002934	0.2306473886
724	0.8028506904	0.2306240021
725	0.8028831026	0.2306095633
726	0.8029113377	0.2305961589
727	0.8029577576	0.230575201
728	0.8029810145	0.2305643592
729	0.8030263039	0.2305452934
730	0.803054592	0.2305293736
731	0.8030903376	0.2305117239
732	0.8031286607	0.230495936
733	0.80316565	0.2304763687
734	0.8032076474	0.2304612211
735	0.8032361748	0.2304491675
736	0.8032804024	0.2304327891
737	0.803325333	0.2304141317
738	0.8033481404	0.2304030124
739	0.8034040095	0.2303814379
740	0.803441661	0.2303611831
741	0.8034673492	0.2303476686
742	0.8035108868	0.230329369
743	0.8035661588	0.2303039322
744	0.8035829927	0.2302945332
745	0.8036272535	0.2302751807
746	0.8036500809	0.2302652779
747	0.8036754984	0.2302541478
748	0.8037015806	0.2302422197
749	0.8037366106	0.2302265615
750	0.8037751439	0.2302097388
751	0.8038026284	0.2301965027
752	0.8038361956	0.2301818934
753	0.80386053	0.2301715279
754	0.8038812913	0.2301620456
755	0.8039083816	0.2301471521
756	0.8039677215	0.2301192369
